CODIGO_PRODUTO;Complemento;DESCRICAO_PRODUTO;CODIGO_COMPONENTE;Complemento_Componente;DESCRICAO_COMPONENTE
100130160029;   ;BICICLETA ARO 16 APOLLO 4 ;207010180002;0001  ;PINTURA GUIDAO ARO 16 PRETO 
100130160029;   ;BICICLETA ARO 16 APOLLO 4 ;207010180003;0001  ;PINTURA QUADRO ARO 16 PRETO 
100130160029;   ;BICICLETA ARO 16 APOLLO 4 ;207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100130160029;   ;BICICLETA ARO 16 APOLLO 4 ;207010180007;0001  ;PINTURA ABRACADEIRA SELIM 16/BALANCE 
100130160029;   ;BICICLETA ARO 16 APOLLO 4 ;207010180013;0001  ;PINTURA CANOTE DO SELIM PRETO 
100130160029;   ;BICICLETA ARO 16 APOLLO 4 ;504010130007;   ;TINTA EM PO PRETA 
100130160029;   ;BICICLETA ARO 16 APOLLO 4 ;504010130028;   ;TINTA EM PO VERDE 26R LI 
100130160029;   ;BICICLETA ARO 16 APOLLO 4 ;504010130074;   ;TINTA EM PO PRETO W-ECO  
100130160030;   ;BICICLETA ARO 16 UNICORN ;207010180001;0015  ;PINTURA GARFO DIANTEIRO ARO 16 AZUL CLA RO 
100130160030;   ;BICICLETA ARO 16 UNICORN ;207010180002;0015  ;PINTURA GUIDAO ARO 16 AZUL CLARO 
100130160030;   ;BICICLETA ARO 16 UNICORN ;207010180003;0015  ;PINTURA QUADRO ARO 16 AZUL CLARO 
100130160030;   ;BICICLETA ARO 16 UNICORN ;207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100130160030;   ;BICICLETA ARO 16 UNICORN ;207010180007;0001  ;PINTURA ABRACADEIRA SELIM 16/BALANCE 
100130160030;   ;BICICLETA ARO 16 UNICORN ;207010180013;0001  ;PINTURA CANOTE DO SELIM PRETO 
100130160030;   ;BICICLETA ARO 16 UNICORN ;504010130007;   ;TINTA EM PO PRETA 
100130160030;   ;BICICLETA ARO 16 UNICORN ;504010130042;   ;TINTA EM PO AZUL CLARINHO 283  
100130160030;   ;BICICLETA ARO 16 UNICORN ;504010130074;   ;TINTA EM PO PRETO W-ECO  
100150160020;   ;BICICLETA ARO 12 CECIZINHA 2023 ;206010180001;0006  ;PINTURA GARFO DIANTEIRO ARO 12 LILAS 
100150160020;   ;BICICLETA ARO 12 CECIZINHA 2023 ;206010180002;0006  ;PINTURA GUIDAO ARO 12 LILAS 
100150160020;   ;BICICLETA ARO 12 CECIZINHA 2023 ;206010180009;0006  ;PINTURA QUADRO ARO 12 MOD02 LILAS 
100150160020;   ;BICICLETA ARO 12 CECIZINHA 2023 ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
100150160020;   ;BICICLETA ARO 12 CECIZINHA 2023 ;504010130001;   ;TINTA EM PO BRANCA 
