CODIGO_PRODUTO;Complemento;DESCRICAO_PRODUTO;CODIGO_COMPONENTE;Complemento_Componente;Componente;LINHA;DESCRICAO_COMPONENTE;DESC_COR;CODIGO_COR;DESCRICAO_COR;Linha;Peças p/ gancheira;Espaçamento;PINOS ;Estoque Gancheiras;Altura;Largura;Peso (kg)
100130160024.0;   ;BICICLETA ARO 16 PIXIE 2 ;207010180013.0;0001  ;Canote do Selim;Aro 16;PINTURA CANOTE DO SELIM PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 16;26.0;0,80;1.0;116.0;1,94;23c;2,480
100130160024.0;   ;BICICLETA ARO 16 PIXIE 2 ;504010130007.0;   ;;;TINTA EM PO PRETA ;;;;;;;;;;;
100130160024.0;   ;BICICLETA ARO 16 PIXIE 2 ;504010130025.0;   ;;;TINTA EM PO LILAS - BANDEIRANTES ;;;;;;;;;;;
100130160024.0;   ;BICICLETA ARO 16 PIXIE 2 ;504010130074.0;   ;;;TINTA EM PO PRETO W-ECO  ;;;;;;;;;;;
100130160025.0;   ;BICICLETA ARO 16 LADY 3 ;207010180001.0;0062  ;Garfo 16;Aro 16;PINTURA GARFO DIANTEIRO ARO 16 CORAL PI NK ;coral pink;504010130072.0;TINTA EM PO CORAL PINK;Aro 16;24.0;1,20;2.0;57.0;1,71;95c;4,260
100130160025.0;   ;BICICLETA ARO 16 LADY 3 ;207010180002.0;0062  ;Guidão 16;Aro 16;PINTURA GUIDAO ARO 16 CORAL PINK ;coral pink;504010130072.0;TINTA EM PO CORAL PINK;Aro 16 ;26.0;1,20;2.0;116.0;1,94;23c;2,480
100130160025.0;   ;BICICLETA ARO 16 LADY 3 ;207010180003.0;0062  ;Quadro 16;Aro 16;PINTURA QUADRO ARO 16 CORAL PINK ;coral pink;504010130072.0;TINTA EM PO CORAL PINK;Aro 16;6.0;1,20;3.0;95.0;1,70;64c;2,400
100130160025.0;   ;BICICLETA ARO 16 LADY 3 ;207010180005.0;0001  ;Tampa da Mesa 16;Aro 16;PINTURA TAMPA DA MESA PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 16;70.0;0,80;1.0;20.0;1,75;62c;8,000
100130160025.0;   ;BICICLETA ARO 16 LADY 3 ;207010180007.0;0001  ;Abraçadeira 16;Aro 16;PINTURA ABRACADEIRA SELIM 16/BALANCE ;preta;504010130007.0;TINTA EM PO PRETA;Aro 16;130.0;0,80;1.0;30.0;1,75;62c;8,000
100130160025.0;   ;BICICLETA ARO 16 LADY 3 ;207010180013.0;0001  ;Canote do Selim;Aro 16;PINTURA CANOTE DO SELIM PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 16;26.0;0,80;1.0;116.0;1,94;23c;2,480
100130160025.0;   ;BICICLETA ARO 16 LADY 3 ;504010130007.0;   ;;;TINTA EM PO PRETA ;;;;;;;;;;;
100130160025.0;   ;BICICLETA ARO 16 LADY 3 ;504010130072.0;   ;;;TINTA EM PO CORAL PINK ;;;;;;;;;;;
100130160025.0;   ;BICICLETA ARO 16 LADY 3 ;504010130074.0;   ;;;TINTA EM PO PRETO W-ECO  ;;;;;;;;;;;
100130160026.0;   ;BICICLETA ARO 16 TOP GIRLS 6 ;207010180001.0;0013  ;Garfo 16;Aro 16;PINTURA GARFO DIANTEIRO ARO 16 ROSA ES CURO ;rosa escuro;504010130002.0;TINTA EM PO ROSA ESCURO;Aro 16;24.0;1,20;2.0;57.0;1,71;95c;4,260
100130160026.0;   ;BICICLETA ARO 16 TOP GIRLS 6 ;207010180002.0;0013  ;Guidão 16;Aro 16;PINTURA GUIDAO ARO 16 ROSA ESCURO ;rosa escuro;504010130002.0;TINTA EM PO ROSA ESCURO;Aro 16 ;26.0;1,20;2.0;116.0;1,94;23c;2,480
100130160026.0;   ;BICICLETA ARO 16 TOP GIRLS 6 ;207010180003.0;0013  ;Quadro 16;Aro 16;PINTURA QUADRO ARO 16 ROSA ESCURO ;rosa escuro;504010130002.0;TINTA EM PO ROSA ESCURO;Aro 16;6.0;1,20;3.0;95.0;1,70;64c;2,400
100130160026.0;   ;BICICLETA ARO 16 TOP GIRLS 6 ;207010180005.0;0001  ;Tampa da Mesa 16;Aro 16;PINTURA TAMPA DA MESA PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 16;70.0;0,80;1.0;20.0;1,75;62c;8,000
100130160026.0;   ;BICICLETA ARO 16 TOP GIRLS 6 ;207010180007.0;0001  ;Abraçadeira 16;Aro 16;PINTURA ABRACADEIRA SELIM 16/BALANCE ;preta;504010130007.0;TINTA EM PO PRETA;Aro 16;130.0;0,80;1.0;30.0;1,75;62c;8,000
